Ziekenhuis	Aantal bedden
ADRZ	12
Albert Schweitzer Ziekenhuis	16
Alrijne Zorggroep	10
Amphia Ziekenhuis	24
Amsterdam UMC - locatie AMC	32
Amsterdam UMC - locatie VUmc	22
Anna Ziekenhuis	6
Antoni van Leeuwenhoek Ziekenhuis	6
Antonius Ziekenhuis locatie Sneek en Emmeloord	4
Beatrix Ziekenhuis - Rivas	6
Bernhoven Ziekenhuis	8
BovenIJ Ziekenhuis	5
Bravis ziekenhuis - locatie Bergen op Zoom en Roosendaal	15
Catharina Ziekenhuis	16
CWZ	12
Deventer Ziekenhuis	12
Diakonessenhuis Utrecht	12
Dijklander Ziekenhuis	12
Elkerliek Ziekenhuis	8
Erasmus MC	50
ETZ - locatie Elisabeth	24
ETZ - locatie Tweesteden	2
Flevo Ziekenhuis	8
Franciscus Gasthuis en Vlietland	17
Gelderse vallei Ziekenhuis	12
Gelre Ziekenhuizen - locatie Apeldoorn	10
Gelre Ziekenhuizen - locatie Zutphen	2
Groene Hart Ziekenhuis	11
Haaglanden Medisch Centrum - locatie Antoniushove	6
Haaglanden Medisch Centrum - locatie Westeinde	13
HagaZiekenhuis	16
IJsselland Ziekenhuis	8
Ikazia Ziekenhuis	8
Isala Klinieken	36
Jeroen Bosch Ziekenhuis	12
Laurentius Ziekenhuis	8
LUMC	26
Maasstad ziekenhuis	16
Maasstad ziekenhuis brandwonden IC	3
Maastricht UMC+	31
Maasziekenhuis Pantein	4
Martini Ziekenhuis	14
Maxima Medisch Centrum	11
Meander Medisch Centrum	14
Medisch Centrum Leeuwarden	16
Medisch Spectrum Twente	28
Nij Smellinghe Ziekenhuis	8
Noordwest Ziekenhuisgroep - locatie Alkmaar	12
Noordwest Ziekenhuisgroep - locatie Den Helder	1
OLVG - locatie Oost en West	20
Ommelander Ziekenhuis	6
Radboudumc	24
Reinier de Graaf Groep	12
Rijnstate Ziekenhuis	18
Rode Kruis Ziekenhuis	8
Saxenburgh Medisch Centrum	4
Slingeland Ziekenhuis	10
Spaarne Gasthuis	16
St. Antonius Ziekenhuis	20
St. Jans Gasthuis Weert	6
Stichting ZorgSaam	6
Streekziekenhuis Koningin Beatrix Winterswijk	6
Tergooi MC	10
Treant Zorggroep	14
Universitair Medisch Centrum Groningen	33
Universitair Medisch Centrum Utrecht	25
Van Weel Bethesda ziekenhuis	6
VieCuri Medisch Centrum	14
Wilhelmina Ziekenhuis Assen	6
Zaans Medisch Centrum	6
Ziekenhuis Amstelland	4
Ziekenhuis Rivierenland	6
Ziekenhuis St. Jansdal	8
Ziekenhuis Tjongerschans	8
Ziekenhuisgroep Twente	12
Zuyderland	24
