gemeente_code,neerslag_jul_mm
GM0263,262.21
GM0441,239.63
GM1903,254.12
GM0193,286.54
GM1711,285.44
GM1621,260.91
GM1659,239.7
GM0766,281.62
GM0668,256.75
GM0848,235.47
GM0484,267.97
GM1978,282.62
GM0626,261.19
GM1876,257.43
GM0106,260.13
GM1991,235.7
GM0537,254.06
GM0383,232.18
GM0479,236.58
GM0109,273.48
GM1895,236.78
GM0301,250.38
GM1966,234.28
GM0189,276.4
GM0275,256.17
GM0158,258.71
GM1586,262.8
GM0345,257.13
GM0546,253.41
GM1658,256.63
GM1774,284.98
GM0703,275.79
GM0758,266.26
GM1721,237.93
GM0375,235.32
GM0296,237.19
GM1948,245.59
GM1783,258.62
GM0160,274.84
GM0289,258.57
GM1940,255.71
GM1883,281.63
GM0299,239.74
GM0351,288.62
GM1676,262.02
GM0765,250.07
GM0377,246.95
GM0356,276.94
GM0889,280.24
GM1674,289.25
GM0273,277.18
GM0183,283.01
GM0216,285.82
GM0072,234.64
GM0579,254.92
GM0770,258.52
GM0453,231.22
GM0498,254.98
GM0074,261.71
GM0431,230.79
GM1730,260.53
GM0228,264.68
GM0285,253
GM0175,282.42
GM0096,248.26
GM1942,251.12
GM0166,275.9
GM0225,255.36
GM0262,263.91
GM0313,286.46
GM0988,286.94
GM0597,283.19
GM0642,276.69
GM1945,249.98
GM0230,285.7
GM0213,268.98
GM1507,275.67
GM1667,233.74
GM1724,250.76
GM0034,256.25
GM0307,282.3
GM0828,244.69
GM1842,269.12
GM1931,285.38
GM0717,254.48
GM1680,253.54
GM0437,259.54
GM1896,278.47
GM0221,269.21
GM0037,268.94
GM0523,282.1
GM0762,286.14
GM0888,255.53
GM0715,274.22
GM0502,275.41
GM1950,261.89
GM0737,246.63
GM0363,234.14
GM1926,256.11
GM0268,230.9
GM0331,270.64
GM0610,276.47
GM0986,251.09
GM1924,257.05
GM0534,263.29
GM0632,271.36
GM0944,242.02
GM1706,259.25
GM0232,276.77
GM0335,287.13
GM0473,250.31
GM0879,251.21
GM0344,287.49
GM0388,241.75
GM0310,271.45
GM0531,286.41
GM0153,259.76
GM0716,282.25
GM0168,275.75
GM0246,288.44
GM1641,273.88
GM1911,232.88
GM0317,276.06
GM0627,257.19
GM0267,280.98
GM0744,249.02
GM0358,251.63
GM0308,276.9
GM1930,285.06
GM1901,273.1
GM0569,262.55
GM0148,286.3
GM1728,231.64
GM0882,255.61
GM0281,255.55
GM0575,255.63
GM0085,266.55
GM0119,271.57
GM0417,284.81
GM0907,234.88
GM0489,287.27
GM0340,252.62
GM0209,233.96
GM0171,250.64
GM1900,241.93
GM0202,250.32
GM1731,289.25
GM0439,234.8
GM0376,276.15
GM0687,257.19
GM1735,265.93
GM0090,266.31
GM0405,235.53
GM0014,245.76
GM0269,286.94
GM0946,284.01
GM0757,239.01
GM0994,255.48
GM0355,276.52
GM0432,241.62
GM0547,252.34
GM0995,261.84
GM0177,285.79
GM1959,278.84
GM1734,231.82
GM0173,288.12
GM0797,257.12
GM0059,261.46
GM1963,277.6
GM0214,267.42
GM1701,272.38
GM0824,237.69
GM0392,249.01
GM0880,237.89
GM0147,271.5
GM1581,280.97
GM0928,251.22
GM0222,242.5
GM0118,288.53
GM0866,267.13
GM0981,261.61
GM0050,272.17
GM0532,266.09
GM0293,261.04
GM1949,232.12
GM1598,248.2
GM0845,246.83
GM1954,251.69
GM0303,265.56
GM0736,264.35
GM1719,270.44
GM0794,254.34
GM1884,267.27
GM1700,287.29
GM0873,282.73
GM0899,269.7
GM0809,263.23
GM1705,238.8
GM0840,289.08
GM0505,287.79
GM0743,283.95
GM0935,257.84
GM1982,243.22
GM0847,263.5
GM0184,253.26
GM0784,263.07
GM0851,284.93
GM0542,280.16
GM0512,289.62
GM0060,242.62
GM0352,271.89
GM1696,256.44
GM1916,263.51
GM0150,272.9
GM1992,252.5
GM1695,274.49
GM0244,276.64
GM0297,262.14
GM1955,243.75
GM0361,238.29
GM1894,271.46
GM1714,262.27
GM1969,245.91
GM0637,250.79
GM1681,289.74
GM0893,261.01
GM0613,272.15
GM0753,231.2
GM0823,237.43
GM1961,284.52
GM0450,243.24
GM0917,257.32
GM1773,289.79
GM0233,271.32
GM1960,262.68
GM0518,259.83
GM0777,272.91
GM0200,268.35
GM0180,280.72
GM1652,263.06
GM0589,274.27
GM0867,266.92
GM0093,241.17
GM0622,264.67
GM1740,250.12
GM0342,282.43
GM0798,239.38
GM1859,269.86
GM0420,235.83
GM1525,264.25
